noise type,s:n (v),receptor density,ds,dL
neural,0.1,1:2:2:4,7.81,116.5
neural,0.05,1:2:2:4,15.63,233.01
neural,0.1,1:4:4:8,11.05,164.76
neural,0.05,1:4:4:8,22.1,329.52
quantum,0.1,1:2:2:4,0.209,2.36
quantum,0.05,1:2:2:4,0.209,2.36
