wavelength,WingBud,Leaves
300,5.395070683,0.057158292
301,5.503187486,0.0544964
302,5.597754989,0.049830028
303,5.548025057,0.048696031
304,5.573409855,0.04738928
305,5.586524021,0.046787571
306,5.730712463,0.046347414
307,5.691262613,0.046437553
308,5.805858199,0.046061145
309,5.885400785,0.048199483
310,6.1029914,0.046238227
311,6.06262826,0.046127885
312,6.238074212,0.044473703
313,6.363917561,0.043048082
314,6.385810584,0.040590374
315,6.478463983,0.038600927
316,6.453506221,0.037410056
317,6.442240644,0.034920818
318,6.517828458,0.033173941
319,6.55853031,0.030144938
320,6.549850983,0.030110617
321,6.618581559,0.029166984
322,6.850632041,0.029101155
323,6.938223273,0.029941632
324,7.031812066,0.028875887
325,7.036940308,0.030011707
326,7.171581093,0.029464777
327,7.22332051,0.029380954
328,7.382435043,0.029554865
329,7.459127702,0.030445583
330,7.452278571,0.031370444
331,7.530731403,0.028370989
332,7.486229478,0.028400204
333,7.607197341,0.026839367
334,7.719436286,0.028693411
335,7.92015617,0.028346154
336,7.932452146,0.028173259
337,7.912743707,0.028436157
338,7.870476767,0.028443591
339,7.998811988,0.028070202
340,7.999679405,0.027578747
341,7.9875287,0.02974028
342,7.872210714,0.029629528
343,7.803214484,0.028363698
344,7.844937341,0.029101917
345,7.852031959,0.029414952
346,7.753188245,0.027916042
347,7.793444126,0.027050991
348,7.785059524,0.027687759
349,7.814261218,0.027191609
350,7.837730759,0.026047044
351,7.86743979,0.026765303
352,7.948220574,0.025554872
353,8.068522937,0.026473618
354,8.201876633,0.02646717
355,8.315176062,0.02650687
356,8.477568509,0.026116611
357,8.540724534,0.027739604
358,8.767425575,0.028485168
359,8.859760731,0.030116289
360,8.973728069,0.032004238
361,8.97140467,0.032008741
362,9.002286905,0.031648602
363,9.07643051,0.033068885
364,9.099552019,0.031334272
365,9.179505102,0.030437907
366,9.074870275,0.031075048
367,9.109906693,0.030813158
368,9.151322778,0.031071722
369,9.303598881,0.031661883
370,9.416508163,0.03007259
371,9.439448872,0.029945947
372,9.569148115,0.030319879
373,9.900957596,0.03105913
374,10.41042905,0.031204481
375,10.81941599,0.030055213
376,11.17822706,0.031594593
377,11.46857207,0.031607183
378,11.9363074,0.032646476
379,12.45925094,0.03284638
380,13.03110095,0.032621779
381,13.55557912,0.033933402
382,13.97939437,0.033700744
383,14.4247603,0.035293345
384,15.09008648,0.035980989
385,15.70016743,0.037682949
386,16.16520873,0.038936138
387,16.66946808,0.038182008
388,17.04463084,0.038448546
389,17.42111621,0.041575159
390,17.97268941,0.041674542
391,18.39688787,0.043670864
392,18.77442286,0.044842218
393,19.16993254,0.045431879
394,19.6054794,0.045076733
395,20.00724738,0.044753258
396,20.46843244,0.04433196
397,20.79719479,0.043664037
398,21.07718154,0.044496615
399,21.51977172,0.041453302
400,21.87339653,0.04094743
401,22.33671111,0.042765981
402,22.74528549,0.044210576
403,23.0946799,0.045422238
404,23.49836942,0.045914885
405,24.02190714,0.043161039
406,24.22839245,0.045363414
407,24.53248907,0.047231776
408,24.8712989,0.049741043
409,25.17834186,0.050223302
410,25.46265217,0.050087681
411,25.7339934,0.050893057
412,26.02486028,0.052473842
413,26.27002629,0.053815097
414,26.62955635,0.049826514
415,26.97096712,0.051342808
416,27.2608265,0.050186962
417,27.54511031,0.053131482
418,27.84769892,0.054577378
419,28.08089318,0.056243858
420,28.2699029,0.05702114
421,28.42748042,0.058760026
422,28.55575131,0.060765179
423,28.6336101,0.061292604
424,28.70349214,0.061843182
425,28.70436225,0.061363234
426,28.75962419,0.059531679
427,28.8546339,0.059197593
428,28.96034918,0.058778717
429,29.1027159,0.058386699
430,29.25051244,0.056117246
431,29.37557889,0.056052021
432,29.57365585,0.056025627
433,29.7543369,0.056223583
434,29.90355556,0.058277404
435,30.0015932,0.058450984
436,30.08569955,0.059594424
437,30.14648292,0.059612416
438,30.30137019,0.061413727
439,30.44299469,0.061942694
440,30.59388157,0.061884133
441,30.66496082,0.062048851
442,30.80130195,0.062376877
443,30.89618407,0.064060445
444,30.95265203,0.06420578
445,30.97653126,0.063899435
446,30.96889347,0.064670152
447,30.87777862,0.062353693
448,30.803724,0.062604723
449,30.74242276,0.061585035
450,30.67971835,0.061108353
451,30.68848912,0.061425968
452,30.69221,0.061222674
453,30.59477827,0.060708316
454,30.60340141,0.061876399
455,30.5970796,0.062045387
456,30.62579709,0.061915971
457,30.71589316,0.063136666
458,30.69084302,0.061787802
459,30.73347175,0.06179554
460,30.74815524,0.060575087
461,30.73140129,0.059841729
462,30.78006327,0.059132612
463,30.78757307,0.059023958
464,30.78561918,0.058724064
465,30.77265646,0.059035233
466,30.76346123,0.059784181
467,30.76910527,0.060392261
468,30.78890476,0.059584117
469,30.85297625,0.06055278
470,30.92559089,0.061133158
471,30.98522993,0.062388858
472,31.01859847,0.062794042
473,31.05346035,0.063999289
474,31.07354143,0.064506049
475,31.11171577,0.064139187
476,31.07271335,0.062980219
477,31.11798421,0.062394116
478,31.1978815,0.062362549
479,31.24762175,0.065034161
480,31.39743435,0.068954101
481,31.41220682,0.072646012
482,31.43243643,0.075073852
483,31.44772664,0.076827556
484,31.49248674,0.079079487
485,31.46782109,0.08056272
486,31.454465,0.081054294
487,31.45460126,0.080950259
488,31.47116372,0.079661702
489,31.4693846,0.080047597
490,31.52042524,0.079319296
491,31.51850697,0.078844842
492,31.53151122,0.077311591
493,31.55973694,0.07699173
494,31.61639103,0.076150743
495,31.62570891,0.073865771
496,31.67108803,0.072538407
497,31.80549329,0.070373281
498,31.88201953,0.069486261
499,31.93253634,0.068932101
500,32.03979126,0.067666267
501,32.1378136,0.066574807
502,32.19631168,0.067231119
503,32.25486119,0.067554516
504,32.36044456,0.066531016
505,32.49159247,0.068355316
506,32.59976724,0.069921624
507,32.67687403,0.071613632
508,32.75501337,0.072871299
509,32.82870371,0.07455569
510,32.9429828,0.076615117
511,33.04823045,0.079704214
512,33.11606373,0.081797767
513,33.11680564,0.083920986
514,33.17329266,0.086040358
515,33.26599236,0.091174655
516,33.30911639,0.093933326
517,33.39937707,0.096543133
518,33.47429463,0.097721595
519,33.54065564,0.099611181
520,33.56542334,0.102828269
521,33.59515073,0.107225993
522,33.49321054,0.11133472
523,33.536111,0.115593405
524,33.60819421,0.121121847
525,33.61113864,0.13120756
526,33.59830707,0.140571038
527,33.6098501,0.14301535
528,33.6182033,0.145257647
529,33.63009401,0.143169638
530,33.65193796,0.146285813
531,33.63590354,0.149238178
532,33.63545374,0.148892187
533,33.61607714,0.148273364
534,33.62511578,0.149299277
535,33.59825551,0.149947942
536,33.58325454,0.149333534
537,33.58147837,0.149378879
538,33.60910504,0.152264185
539,33.63464707,0.154447322
540,33.63803868,0.155133927
541,33.66063116,0.155444423
542,33.6794037,0.154610121
543,33.64899184,0.1547545
544,33.65254271,0.154975172
545,33.5993632,0.152695365
546,33.56278265,0.149547455
547,33.52026902,0.147852099
548,33.45625188,0.145704379
549,33.40942739,0.14380422
550,33.28446611,0.141786739
551,33.21488901,0.141349849
552,33.19573339,0.139893033
553,33.09710303,0.139618419
554,33.06007574,0.138807814
555,33.02648392,0.138314009
556,32.97633661,0.136376183
557,32.93193064,0.135123377
558,32.89542639,0.13277504
559,32.84243296,0.131228494
560,32.87893281,0.128979552
561,32.83780874,0.128159507
562,32.86302194,0.126623513
563,32.92841293,0.126083646
564,32.94043941,0.12481818
565,32.99933152,0.123338532
566,33.05421639,0.122057941
567,33.09177141,0.119325345
568,33.05223909,0.117499835
569,33.07768085,0.116744915
570,32.99786424,0.114568042
571,32.98705515,0.112933214
572,33.0195042,0.111025965
573,33.04557533,0.110564175
574,33.09199867,0.111441526
575,33.07604262,0.109369831
576,33.03403289,0.104752658
577,33.12154398,0.102303248
578,33.12769165,0.098712382
579,33.12235216,0.096539909
580,33.15794989,0.093794272
581,33.12755497,0.089563253
582,33.17557924,0.085569212
583,33.16244004,0.08399585
584,32.99940443,0.083588474
585,32.93933303,0.08462616
586,32.89580691,0.082699431
587,32.83745728,0.079002244
588,32.74968735,0.080385508
589,32.73194007,0.07974156
590,32.7276832,0.083608521
591,32.74824504,0.083136264
592,32.72511627,0.081974994
593,32.75474925,0.084112677
594,32.76516218,0.087021851
595,32.83412359,0.085101842
596,32.85942055,0.083073159
597,32.9149815,0.081272007
598,32.92236672,0.079745603
599,32.94291716,0.077768547
600,32.87943329,0.075731414
601,32.90191092,0.076290773
602,32.90637506,0.076155343
603,32.94722723,0.077597301
604,32.91061639,0.075048673
605,32.96413057,0.075731371
606,32.90025209,0.076621083
607,32.98547513,0.075680123
608,33.0051101,0.073477212
609,33.05178608,0.073013172
610,33.00700466,0.071377775
611,32.94647521,0.070631747
612,32.92227126,0.069497316
613,32.95928341,0.066264431
614,32.96672419,0.066447037
615,33.05556211,0.065966475
616,33.0094573,0.065476464
617,33.15627067,0.064061314
618,33.21312815,0.065207632
619,33.25897858,0.064448374
620,33.3730006,0.064235162
621,33.35567941,0.062180965
622,33.30414139,0.059278259
623,33.3918576,0.06050417
624,33.41298999,0.062387757
625,33.43928381,0.0613567
626,33.47157514,0.060897685
627,33.65983037,0.06221042
628,33.74566311,0.063820546
629,33.80835955,0.065336682
630,33.75511415,0.065024192
631,33.68649931,0.062720136
632,33.72532326,0.062416118
633,33.80079173,0.062600593
634,33.69205355,0.060822352
635,33.6407163,0.059074904
636,33.63783042,0.056006717
637,33.55695072,0.053199283
638,33.56057947,0.050713579
639,33.56795336,0.049188206
640,33.58146526,0.046606243
641,33.4827938,0.046079936
642,33.38390455,0.044572781
643,33.49204266,0.044311525
644,33.54294361,0.043351731
645,33.51761675,0.044041761
646,33.43879279,0.044636373
647,33.30177648,0.044704242
648,33.23496426,0.0438571
649,33.21011166,0.044056994
650,33.01621619,0.043243549
651,33.01968959,0.042806344
652,32.97326849,0.04211295
653,32.97800831,0.04206751
654,32.9231103,0.043074781
655,32.90396008,0.043340042
656,32.91397941,0.043852635
657,32.96214827,0.043791906
658,32.88326795,0.043790633
659,32.94204273,0.042342951
660,32.90736505,0.041012997
661,32.90932215,0.038931483
662,32.95219065,0.038086563
663,32.86881666,0.037129791
664,32.81322314,0.03646346
665,32.8829162,0.03625854
666,32.77736267,0.036486975
667,32.58092939,0.036512091
668,32.42249674,0.036675303
669,32.17886623,0.03601123
670,32.12435589,0.03463623
671,32.04265963,0.033793978
672,31.86016067,0.03387817
673,31.8043777,0.033749505
674,31.87672805,0.032580859
675,31.94802603,0.032735553
676,31.87315189,0.033519306
677,31.79423905,0.032055736
678,31.72666664,0.030074162
679,31.7185433,0.029398452
680,31.77661222,0.028478174
681,31.78865528,0.029375402
682,31.74625559,0.028416286
683,31.80427857,0.02543352
684,31.77738568,0.024149776
685,31.50348299,0.022566365
686,31.30832218,0.020765761
687,30.87020729,0.018515913
688,30.66576891,0.017735326
689,30.51372093,0.015754443
690,30.19639236,0.014493194
691,30.0380071,0.014357568
692,30.00578763,0.013435205
693,30.00491797,0.012783147
694,30.20218991,0.013837404
695,30.01642158,0.013901567
696,29.98838765,0.014384941
697,30.02049632,0.015765118
698,29.884096,0.018930402
699,29.45911293,0.020895072
700,29.10602833,0.024034108
